transaction_id,card_id,timestamp,amount,latitude,longitude,merchant_country,merchant_category,time_diff,distance_km,speed_kmh,is_high_risk_country,is_crypto_or_casino,is_fraud
TX_007147,1000,2026-08-01 05:08:30,47.21,45.59564589987056,-74.35915940983209,CA,grocery,999999.0,0.0,0.0,0,0,0
TX_008562,1000,2026-08-01 22:57:53,28.07,45.34327179342897,-73.2534491167821,KY,retail,64163.0,90.67398015386892,5.087454273552174,1,0,0
TX_004513,1000,2026-08-05 19:06:39,15.88,45.88284046214204,-73.8789783481575,CA,retail,331726.0,77.24523169909602,0.8382907402999635,0,0,0
TX_002754,1000,2026-08-06 03:03:55,106.25,44.759913875900395,-73.35651493703824,CA,retail,28636.0,131.37477107419988,16.515895232124585,0,0,0
TX_001397,1000,2026-08-08 10:05:42,7.75,45.263461079422974,-73.78413359954281,FR,grocery,198107.0,65.30738270010318,1.1867656252447993,0,0,0
TX_008805,1000,2026-08-11 06:12:37,113.41,45.09645012954073,-72.82018542006028,CA,travel,245215.0,77.80192991743573,1.1422096841660119,0,0,0
TX_009482,1000,2026-08-11 16:26:35,205.15,46.26230180832575,-74.24317866201413,CA,retail,36838.0,170.36753150206988,16.649196845850792,0,0,0
TX_004237,1000,2026-08-11 17:42:04,5.91,45.25450196595862,-73.53911601781697,CA,retail,4529.0,124.66357208066509,99.09226308023722,0,0,0
TX_000609,1000,2026-08-12 18:12:10,16.62,45.36491322824449,-73.68705936068325,CA,grocery,88206.0,16.86938785789718,0.6884996064715536,0,0,0
TX_002720,1000,2026-08-15 18:07:36,2.38,44.699630528896186,-73.85366267344637,PA,grocery,258926.0,75.12557844087188,1.0445149671610374,1,0,0
TX_009227,1000,2026-08-16 14:56:55,16.22,45.212045929450916,-73.8973775455624,CA,grocery,74959.0,57.08172743741642,2.741421560782549,0,0,0
TX_009065,1000,2026-08-16 22:23:15,25.66,46.00015216569843,-73.80795298608797,CA,retail,26780.0,87.90906438279531,11.817499319569198,0,0,0
TX_001040,1000,2026-08-18 11:33:19,65.52,45.35467291804024,-73.7592052310064,CA,retail,133804.0,71.87386553763223,1.9337681678834415,0,0,0
TX_004937,1000,2026-08-19 12:34:08,4.77,45.2868017810007,-72.93730069606177,CA,retail,90049.0,64.70221525319116,2.58668030640527,0,0,0
TX_001167,1000,2026-08-19 16:11:47,9.87,45.36813534467871,-73.13597647902176,FR,retail,13059.0,17.972885882468027,4.954620505160035,0,0,0
TX_008349,1000,2026-08-19 19:20:04,52.21,45.369877860127794,-73.97164904094863,CA,retail,11297.0,65.28162671852364,20.803209364139605,0,0,0
TX_001344,1000,2026-08-19 20:20:20,35.94,45.4650329988888,-73.50235309577431,CA,retail,3616.0,38.12686382281908,37.95816088554997,0,0,0
TX_000891,1000,2026-08-20 17:15:28,20.6,46.32839505823033,-73.63139907105365,CA,retail,75308.0,96.51945418533563,4.613985699622992,0,0,0
TX_002835,1000,2026-08-22 06:01:22,27.37,45.862904583981226,-73.5909053689153,CA,retail,132354.0,51.85427119001964,1.4104248929693903,0,0,0
TX_009139,1000,2026-08-22 10:48:30,152.42,45.65769621434545,-73.68926235985238,CA,retail,17228.0,24.06006019881423,5.027642019719714,0,0,0
TX_008338,1000,2026-08-29 07:00:36,100.84,46.55302493452592,-73.58312655464509,CA,grocery,591126.0,99.89168152128094,0.6083475493830612,0,0,0
TX_005755,1000,2026-08-29 11:58:41,136.07,45.86954107964629,-73.46647379094964,CA,retail,17885.0,76.52814105933587,15.40404293059039,0,0,0
TX_001576,1000,2026-08-29 19:28:16,67.44,45.84168433239891,-73.84418779405472,US,grocery,26975.0,29.415128978699904,3.9256520601786713,0,0,0
TX_000930,1000,2026-08-30 16:21:02,53.46,45.70505184197415,-73.24105269188566,CA,retail,75166.0,49.18332646533869,2.3555859733818383,0,0,0
TX_009690,1001,2026-08-04 13:21:51,7.63,45.72175347055912,-72.82492236112265,CA,travel,999999.0,0.0,0.0,0,0,0
TX_005842,1001,2026-08-07 12:52:52,11.93,46.31913058330821,-72.09920275510437,US,crypto,257461.0,86.90325575437133,1.215142179653372,0,1,0
TX_000278,1001,2026-08-07 22:45:38,14.2,45.47590205665212,-72.964010692029,FR,retail,35566.0,115.19473630395288,11.660041913463148,0,0,0
TX_000360,1001,2026-08-09 13:34:05,96.17,45.39963191125512,-73.8352792848179,FR,grocery,139707.0,68.50618323211572,1.7652820519774715,0,0,0
TX_004001,1001,2026-08-10 19:38:12,38.26,46.35220620526836,-73.60440262051533,US,retail,108247.0,107.41870332596511,3.572453111619485,0,0,0
TX_001756,1001,2026-08-11 18:43:18,149.37,45.25973799411371,-73.48114620963814,FR,grocery,83106.0,121.85199785747841,5.27840579846127,0,0,0
TX_000087,1001,2026-08-12 18:21:02,24.02,45.658406026331924,-72.88379155887817,CA,retail,85064.0,64.30969375970324,2.721655430439806,0,0,0
TX_007106,1001,2026-08-16 05:39:10,19.87,45.307105959441984,-73.27624091632809,CA,retail,299888.0,49.618514234453315,0.595644544776823,0,0,0
TX_006539,1001,2026-08-17 00:23:02,40.94,45.13715802630564,-73.69950895564355,CA,grocery,67432.0,38.15868711146698,2.0371822517689098,0,0,0
